Display_Name,Ontology_Geo_point,Geo_point,Start_Date,disaster_id,End_Date,Disaster_Group,Disaster_Subgroup,Disaster_Type,Disaster_Subtype,Event_Name,ISO,Country,Subregion,Region,Location,Origin,Associated_Types,OFDABHA_Response,Appeal,Declaration,AID_Contribution_000_US,Magnitude,Magnitude_Scale,Total_Deaths,No_Injured,No_Affected,No_Homeless,Total_Affected,Reconstruction_Costs_Adjusted_000_US,Insured_Damage_000_US,Insured_Damage_Adjusted_000_US,Total_Damage_000_US,Total_Damage_Adjusted_000_US,GADM_Admin_Units,Entry_Date,Last_Update,_newCountry,_newISO3,_newISO2
Argentina -Storm -2002-10-22,"-38.4160970,-63.6166720","{longitude=-63.616672, latitude=-38.416097}",2002-10-22,2002-0723-ARG,,Natural,Meteorological,Storm,Storm (General),,ARG,Argentina,Latin America and the Caribbean,Americas,"Entre Rios, Santa Fe, Buenos Aires, Buenors Aires D.f. provinces",,,No,No,No,,,Kph,3,,5000,,5000,,,,,,"[{""gid_1"":""ARG.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Buenos Aires""},{""gid_1"":""ARG.21_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Santa Fe""},{""gid_1"":""ARG.5_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Ciudad de Buenos Aires""},{""gid_1"":""ARG.8_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Entre Ríos""}]",2003-07-01,2025-12-20,Argentina,ARG,AR
Argentina -Storm -2001-04-05,"-38.4160970,-63.6166720","{longitude=-63.616672, latitude=-38.416097}",2001-04-05,2001-0147-ARG,,Natural,Meteorological,Storm,Storm (General),,ARG,Argentina,Latin America and the Caribbean,Americas,"Palma Sola city (Santa Barbara district, Jujuy province), Salta and Catamarca provinces",,,No,No,No,,,Kph,16,,,2000,2000,,,,15000.0,26574.0,"[{""gid_1"":""ARG.17_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Salta""},{""gid_1"":""ARG.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Catamarca""},{""gid_2"":""ARG.10.10_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Santa Bárbara""}]",2003-07-01,2025-12-20,Argentina,ARG,AR
Argentina -Flood -2000-11-09,"-38.4160970,-63.6166720","{longitude=-63.616672, latitude=-38.416097}",2000-11-09,2000-0733-ARG,,Natural,Hydrological,Flood,Flood (General),,ARG,Argentina,Latin America and the Caribbean,Americas,"Buenos Aires, Cordoba, LaPampa, Santa Fe provinces",,,No,No,No,,,Km2,,,,,,,,,300000.0,546496.0,"[{""gid_1"":""ARG.11_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""La Pampa""},{""gid_1"":""ARG.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Buenos Aires""},{""gid_1"":""ARG.21_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Santa Fe""},{""gid_1"":""ARG.6_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Córdoba""}]",2006-02-23,2025-12-20,Argentina,ARG,AR
Argentina -Storm -2001-01-10,"-38.4160970,-63.6166720","{longitude=-63.616672, latitude=-38.416097}",2001-01-10,2001-0012-ARG,,Natural,Meteorological,Storm,Storm (General),,ARG,Argentina,Latin America and the Caribbean,Americas,Buenos Aires province,,,No,No,No,,200.0,Kph,4,150,500,,650,,,,,,"[{""gid_1"":""ARG.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Buenos Aires""}]",2003-07-01,2025-12-20,Argentina,ARG,AR
Argentina -Storm -2000-12-27,"-38.4160970,-63.6166720","{longitude=-63.616672, latitude=-38.416097}",2000-12-27,2000-0839-ARG,,Natural,Meteorological,Storm,Lightning/Thunderstorms,,ARG,Argentina,Latin America and the Caribbean,Americas,"Buenos Aires D.f., Buenos Aires provinces",,,No,No,No,,96.0,Kph,1,,,430,430,,,,,,"[{""gid_1"":""ARG.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Buenos Aires""},{""gid_1"":""ARG.5_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Ciudad de Buenos Aires""}]",2003-07-01,2025-12-20,Argentina,ARG,AR
Argentina -Flood -2000-05-15,"-38.4160970,-63.6166720","{longitude=-63.616672, latitude=-38.416097}",2000-05-15,2000-0255-ARG,,Natural,Hydrological,Flood,Flood (General),,ARG,Argentina,Latin America and the Caribbean,Americas,"Avellaneda, Berisso, Lanus, Quilmes, San Fernando, San Miguel districts (Buenos Aires province), Rosario district (Santa Fe province), Parana city (Entre Rios province); Buenos Aires city (Buenos Aires D.f. province), La Pampa, La Cordoba provinces",,,No,No,No,,,Km2,4,40,30000,,30040,,,,,,"[{""gid_1"":""ARG.11_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""La Pampa""},{""gid_1"":""ARG.5_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Ciudad de Buenos Aires""},{""gid_1"":""ARG.6_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Córdoba""},{""gid_2"":""ARG.1.108_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""San Fernando (1)""},{""gid_2"":""ARG.1.15_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Berisso""},{""gid_2"":""ARG.1.55_1"",""migration_date"":""2025-12-20"",""migration_method"":""bufhaus2"",""name_2"":""General Sarmiento""},{""gid_2"":""ARG.1.64_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Lanús""},{""gid_2"":""ARG.1.7_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Avellaneda""},{""gid_2"":""ARG.1.95_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Quilmes""},{""gid_2"":""ARG.21.12_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Rosario""},{""gid_2"":""ARG.8.13_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Paraná""}]",2003-07-01,2025-12-20,Argentina,ARG,AR
Argentina -Flood -2023-05-29,"-38.4160970,-63.6166720","{longitude=-63.616672, latitude=-38.416097}",2023-05-29,2023-0411-ARG,,Natural,Hydrological,Flood,Flood (General),,ARG,Argentina,Latin America and the Caribbean,Americas,"Quilmes (Buenos Aires); Santa Fe, Córdoba, Entre Ríos, Neuquen",,Storm,No,No,No,,,Km2,,,38000,,38000,,,,,,"[{""gid_1"":""ARG.15_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Neuquén""},{""gid_1"":""ARG.21_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Santa Fe""},{""gid_1"":""ARG.6_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Córdoba""},{""gid_1"":""ARG.8_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Entre Ríos""},{""gid_2"":""ARG.1.95_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Quilmes""}]",2023-07-04,2025-12-20,Argentina,ARG,AR
Argentina -Volcanic activity -2008-05-07,"-38.4160970,-63.6166720","{longitude=-63.616672, latitude=-38.416097}",2008-05-07,2008-0182-ARG,,Natural,Geophysical,Volcanic activity,Ash fall,Chaiten,ARG,Argentina,Latin America and the Caribbean,Americas,"Bariloche district (Rio Negro Province), Chubut province",,,No,No,No,,,,,,,,,,,,,,"[{""gid_1"":""ARG.4_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Chubut""},{""gid_2"":""ARG.16.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Bariloche""}]",2014-07-24,2025-12-20,Argentina,ARG,AR
Argentina -Flood -2008-01-28,"-38.4160970,-63.6166720","{longitude=-63.616672, latitude=-38.416097}",2008-01-28,2008-0053-ARG,,Natural,Hydrological,Flood,Riverine flood,,ARG,Argentina,Latin America and the Caribbean,Americas,"Salta city (Capital district, Salta province), General San Martin, Oran, Rivadavia districts (Salta province)",Heavy rain,,No,No,No,,88120.0,Km2,,,85000,,85000,,,,,,"[{""gid_2"":""ARG.17.18_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Orán""},{""gid_2"":""ARG.17.19_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Rivadavia""},{""gid_2"":""ARG.17.4_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Capital""},{""gid_2"":""ARG.17.8_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""General José de San Martín""}]",2008-07-31,2025-12-20,Argentina,ARG,AR
Argentina -Storm -2005-01-30,"-38.4160970,-63.6166720","{longitude=-63.616672, latitude=-38.416097}",2005-01-30,2005-0055-ARG,,Natural,Meteorological,Storm,Storm (General),,ARG,Argentina,Latin America and the Caribbean,Americas,"Buenos Aires D.f., Buenos Aires provinces",,,No,No,No,,90.0,Kph,11,52,,200,252,,,,,,"[{""gid_1"":""ARG.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Buenos Aires""},{""gid_1"":""ARG.5_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Ciudad de Buenos Aires""}]",2005-03-10,2025-12-20,Argentina,ARG,AR
