mission_id,disaster_id,mission_name,organization,priority_level,mission_status,country,disaster_type,personnel_count,supplies_shipped,last_updated_by,mission_notes
636593ee-dcee-47fc-90f0-21d5c33cf448,2021-0255-CHN,Red Cross Response - China -Storm -2021-05-13,Red Cross,Medium,En Route,China,Storm,99,"Medical Kits, Water Purification Tablets",Tree surgeon,Pick medical safe represent quickly note north be.
0fab2466-9408-4715-84dd-6976aeffbaca,2005-0347-PAK,Red Cross Response - Pakistan -Extreme temperature -2005-06-13,Red Cross,Low,Planned,Pakistan,Extreme temperature,16,"Food Rations, Medical Kits",Surveyor building,History investment your find stage own kind.
e93e2b6c-2396-4d65-9363-5cc9c60d2018,2008-0480-GNQ,UNICEF Response - Equatorial Guinea -Water -2008-10-19,UNICEF,Critical,En Route,Equatorial Guinea,Water,62,"Medical Kits, Food Rations",Energy manager,Table interview change beat inside win office true finally occur sign animal society.
9b3492a5-6833-487e-8445-8b3e4cf9d604,2007-9494-LSO,USAID Response - Lesotho -Drought -2007-07-01,USAID,Critical,On Site,Lesotho,Drought,40,"Nutrition Supplements, Food Rations",Contractor,Front ago system ever our computer three green director.
593fad78-ed42-48ec-87fb-f28df44c9dcb,2024-0695-PHL,WFP Response - Philippines -Storm -2024-09-15,WFP,Critical,Planned,Philippines,Storm,50,"Tarps, Emergency Power Units",Surveyor mining,What language could provide seat would note after.
e0dbc9f9-a3de-4656-b43d-3ed0a069f48a,2001-0426-CIV,USAID Response - Côte d’Ivoire -Epidemic -2001-03-23,USAID,Low,Completed,Côte d’Ivoire,Epidemic,15,"Medicines, PPE",Designer graphic,Word front hot analysis so somebody nor answer pretty these sure direction.
281ec552-652d-4b46-9370-589137a55759,2019-0386-PAK,Red Cross Response - Pakistan -Flood -2019-08-09,Red Cross,Low,En Route,Pakistan,Flood,103,"Temporary Shelters, Food Rations",Therapist music,Human others spring report thousand individual increase task partner bit quality grow.
65109f1b-702c-47e6-8740-02eb939084dc,2002-0476-NGA,USAID Response - Nigeria -Epidemic -2002-08-01,USAID,Critical,On Site,Nigeria,Epidemic,63,"PPE, Cold Chain Equipment",Toxicologist,Economic street how key chance everybody fire actually term collection they foot.
37379561-8a41-4e9f-9ea0-2992614a203f,2003-0533-TZA,WFP Response - United Republic of Tanzania -Road -2003-11-05,WFP,High,Planned,Tanzania,Road,82,"Medical Kits, Water Purification Tablets",Regulatory affairs officer,Individual card hundred big painting room.
9069ed55-4672-4928-bf91-e67593ca5fc5,2019-0070-AGO,UNICEF Response - Angola -Flood -2019-02-20,UNICEF,High,En Route,Angola,Flood,92,"Hygiene Kits, Water Purification Tablets",Dancer,Church pretty situation green style church animal community maybe have history increase.
bb0a3c95-e636-460c-b48d-d9fe897efb46,2006-0539-ARG,WFP Response - Argentina -Road -2006-10-08,WFP,High,Completed,Argentina,Road,39,"Medical Kits, Food Rations",Aid worker,Care laugh use son be figure son run stock.
aba5c437-00cb-41be-8220-ea9644d90827,2005-0431-KEN,Red Cross Response - Kenya -Road -2005-08-13,Red Cross,Critical,Completed,Kenya,Road,118,"Medical Kits, Water Purification Tablets",Production designer theatre/television/film,Total particularly crime when you industry.
62c1d6d6-bc05-4fcf-a5a4-cac878e5f775,2005-0393-CHL,USAID Response - Chile -Flood -2005-06-26,USAID,High,Completed,Chile,Flood,119,"Hygiene Kits, Food Rations",Advertising account executive,Enter record during method pretty ready your very put.
e99aeebb-0737-49fb-81a9-b550d520e359,2006-0466-HTI,USAID Response - Haiti -Storm -2006-08-25,USAID,Critical,Planned,Haiti,Storm,101,"Water Purification Tablets, Medical Kits",Engineer technical sales,Significant able hope draw cell line floor tend own pass condition.
7dd07c95-3ff0-4d4e-ba95-68255f3604ff,2001-0566-USA,Red Cross Response - United States of America -Storm -2001-09-24,Red Cross,Critical,Planned,United States,Storm,54,"Medical Kits, Emergency Power Units",Arts administrator,Writer word maintain even central sister wait.
3c7dd00e-0c24-4aa3-804c-f40686451564,2001-0412-IND,Doctors Without Borders Response - India -Fire (Miscellaneous) -2001-08-06,Doctors Without Borders,Low,Planned,India,Fire (Miscellaneous),92,"Food Rations, Water Purification Tablets",Radio broadcast assistant,Evidence and force every weight nor assume this allow story bill both policy.
27cb9fbd-18e3-4966-85db-63a7c6ae96bd,2009-0204-BTN,UNICEF Response - Bhutan -Storm -2009-05-25,UNICEF,Medium,Completed,Bhutan,Storm,5,"Water Purification Tablets, Medical Kits",Scientist marine,Up appear position do reality wind miss material discuss summer.
c5e01030-0e03-4ef7-a508-125e0f01ed16,2005-0622-IRN,WFP Response - Iran (Islamic Republic of) -Road -2005-11-07,WFP,High,En Route,Iran,Road,24,"Food Rations, Medical Kits",Building surveyor,Heavy tree or mean fly task protect maintain almost security few determine.
058f1226-abe3-4591-876b-6029f03743c0,2020-0074-MAR,WFP Response - Morocco -Water -2020-02-18,WFP,Critical,Planned,Morocco,Water,19,"Medical Kits, Food Rations",Maintenance engineer,Them kind north guess door significant.
385ea4c1-959f-4579-a28a-604dec97dd36,2001-0144-ZAF,WFP Response - South Africa -Miscellaneous accident (General) -2001-04-11,WFP,Low,Planned,South Africa,Miscellaneous accident (General),98,"Water Purification Tablets, Medical Kits",Engineer broadcasting (operations),Themselves enough close side sound behavior position far.
3a03d7e3-3881-470b-9a0e-dd74fe3a1ded,2001-0727-PAK,Red Cross Response - Pakistan -Epidemic -2001-11-01,Red Cross,Medium,Completed,Pakistan,Epidemic,75,"PPE, Medicines",Land/geomatics surveyor,Carry sell sound design either real meeting west throughout mind teacher where.
2200487f-3601-43d4-bb9f-a7f9bebcc728,2014-0067-IRL,WFP Response - Ireland -Storm -2014-02-12,WFP,Critical,En Route,Ireland,Storm,74,"Water Purification Tablets, Emergency Power Units",Quality manager,Manage past improve plant whom yeah field area magazine house benefit choice ten.
21c1bb76-848b-40b7-9553-1852cac09aba,2007-0186-MMR,UNICEF Response - Myanmar -Flood -2007-05-03,UNICEF,High,Completed,Burma,Flood,120,"Temporary Shelters, Hygiene Kits",Clinical embryologist,Take cold notice manager side recent.
aade8ba4-c69b-44c7-a75d-ebff0bafff8d,2002-0073-ZAF,USAID Response - South Africa -Rail -2002-02-05,USAID,Low,On Site,South Africa,Rail,7,"Water Purification Tablets, Medical Kits",Editorial assistant,He surface debate themselves argue every put onto especially during run feeling available.
e57fcf27-01ba-4548-a510-49cc85aba174,2013-0591-FRA,USAID Response - France -Rail -2013-07-12,USAID,Low,Planned,France,Rail,95,"Food Rations, Medical Kits",Multimedia specialist,Rock against set instead career quickly force produce information technology.
0befe4f6-49b3-4c68-89a7-b2e1a4f14e86,2006-0010-GIN,Red Cross Response - Guinea -Road -2006-01-04,Red Cross,High,Planned,Guinea,Road,70,"Medical Kits, Food Rations",Technical author,Control their those central air meet rock stand fact its once cover choice.
5fd703b5-ed37-4e3e-8ce1-845cb3f599d1,2005-0713-CHE,UNICEF Response - Switzerland -Extreme temperature -2005-12-27,UNICEF,Medium,Completed,Switzerland,Extreme temperature,36,"Water Purification Tablets, Food Rations",Museum education officer,Catch shake exist remain important for learn report high know rise crime arm.
74ecc8c7-5311-48af-86b5-6aa8867d2a92,2002-0453-SCG,Doctors Without Borders Response - Serbia Montenegro -Road -2002-07-25,Doctors Without Borders,Critical,On Site,,Road,59,"Water Purification Tablets, Medical Kits",Development worker community,Answer during ball blood member itself against star region speak whether idea some.
b0671c62-3a3a-4ec0-b585-678dbb413a7b,2002-0179-ESP,Doctors Without Borders Response - Spain -Rail -2002-03-30,Doctors Without Borders,Low,Planned,Spain,Rail,56,"Water Purification Tablets, Medical Kits",Medical sales representative,Response avoid enough wide bag light.
b92cb1ac-4310-4725-b312-6a01646be0c8,2003-0282-CAF,WFP Response - Central African Republic -Road -2003-06-13,WFP,Critical,En Route,Central African Republic,Road,59,"Medical Kits, Food Rations",Engineer maintenance (IT),Condition simple away task relate such.
c81f2f2b-a514-4295-968e-00b2309fd4e2,2004-0519-ZAF,UNICEF Response - South Africa -Road -2004-10-16,UNICEF,Critical,Planned,South Africa,Road,11,"Water Purification Tablets, Food Rations",Corporate investment banker,Person live live production sense plant stock full power spend authority realize soldier.
e575d37a-44c1-4513-8f4a-3573288ec2ae,2017-0410-SLV,Red Cross Response - El Salvador -Storm -2017-10-05,Red Cross,Critical,Completed,El Salvador,Storm,32,"Medical Kits, Emergency Power Units",Marine scientist,Discussion TV quite church low provide important soldier quite under fine institution.
a13006ae-e51c-4722-9c75-0310f31edfc4,2002-0035-IDN,USAID Response - Indonesia -Flood -2002-01-13,USAID,Critical,On Site,Indonesia,Flood,105,"Water Purification Tablets, Food Rations",Higher education careers adviser,Month law color suggest industry event tree nice along.
ec2db221-2e44-4634-be57-d652103a0c65,2006-0065-IRQ,USAID Response - Iraq -Flood -2006-02-04,USAID,Critical,En Route,Iraq,Flood,29,"Temporary Shelters, Hygiene Kits",Leisure centre manager,Later watch town movie no care group more either couple plan four ability.
255f1486-8aba-49d1-8e9b-c3977138a245,2017-0227-HND,Red Cross Response - Honduras -Flood -2017-01-07,Red Cross,Low,On Site,Honduras,Flood,12,"Hygiene Kits, Water Purification Tablets",IT sales professional,Suddenly agency heavy though option charge.
483ee12a-42d7-4b54-a186-f9574ddc4ef6,2017-0341-POL,Red Cross Response - Poland -Storm -2017-08-10,Red Cross,Medium,Planned,Poland,Storm,70,"Emergency Power Units, Water Purification Tablets",Trade mark attorney,Foreign lead place simply suggest including arm face subject fund.
65e9f16b-a8dc-477a-bd62-e496f2c795f0,2013-0508-COG,Doctors Without Borders Response - Congo -Epidemic -2013-04-01,Doctors Without Borders,Medium,Completed,Congo (Brazzaville),Epidemic,20,"Testing Supplies, PPE",Building surveyor,Street I agree probably school claim expect attack read religious.
9a29ebcd-5923-4691-9c6c-52b9fdb60e66,2003-0502-USA,USAID Response - United States of America -Water -2003-10-15,USAID,Critical,On Site,United States,Water,38,"Medical Kits, Food Rations",Public relations officer,Or lawyer sure today really push discuss decade few spend thousand heart television.
7b6401cd-70f3-4418-8717-bf1904eb2cc6,2004-0741-GRC,WFP Response - Greece -Storm -2004-02-13,WFP,Medium,On Site,Greece,Storm,63,"Water Purification Tablets, Medical Kits",Fine artist,Indeed player other debate cover clear difference visit which fall.
89efe1b6-f88b-4e8e-acd5-76e81fa62f70,2001-0785-BRA,WFP Response - Brazil -Miscellaneous accident (General) -2001-01-01,WFP,Low,Planned,Brazil,Miscellaneous accident (General),73,"Medical Kits, Food Rations",Building control surveyor,Again case early window try brother thus Democrat challenge professor level.
6cab9abc-ea32-4648-8b3e-914e217bf39d,2002-0741-CAF,UNICEF Response - Central African Republic -Road -2002-11-26,UNICEF,Low,En Route,Central African Republic,Road,52,"Food Rations, Water Purification Tablets",Graphic designer,Understand least choose media despite human.
645838db-11ae-452e-8877-f7bcb81abfae,2009-0308-GIN,Red Cross Response - Guinea -Flood -2009-08-03,Red Cross,High,Planned,Guinea,Flood,90,"Hygiene Kits, Food Rations",Building surveyor,They least two surface near medical street season significant single space imagine.
09d1f0df-6ac7-4f03-898c-8d574add86e3,2000-0568-IND,USAID Response - India -Epidemic -2000-08-01,USAID,Low,En Route,India,Epidemic,39,"PPE, Cold Chain Equipment",Travel agency manager,State by begin better forward Congress group item.
d1aba8c1-9495-4297-b689-45eaa818a70e,2012-0097-IDN,USAID Response - Indonesia -Earthquake -2012-04-11,USAID,High,Completed,Indonesia,Earthquake,37,"Search & Rescue Gear, Temporary Shelters",Make,Too until nor agency care style travel doctor century long nation sort.
a93faa13-e035-4e9e-b2b2-5bc067817a96,2004-0218-PHL,Red Cross Response - Philippines -Storm -2004-05-13,Red Cross,Low,Planned,Philippines,Storm,47,"Medical Kits, Water Purification Tablets",Equities trader,Style tree hundred just hear adult reduce coach list.
e48e153e-bfc4-47ea-801b-32e3bbd79f99,2002-0445-VEN,UNICEF Response - Venezuela (Bolivarian Republic of) -Flood -2002-07-20,UNICEF,Critical,Planned,Venezuela,Flood,19,"Temporary Shelters, Water Purification Tablets",Furniture designer,Until town game themselves point environmental hospital how cultural.
0d9a7030-042e-47d6-9257-9a9c91bde888,2008-0209-IRN,Red Cross Response - Iran (Islamic Republic of) -Fire (Industrial) -2008-05-25,Red Cross,High,En Route,Iran,Fire (Industrial),60,"Food Rations, Medical Kits",Science writer,These cup security you tree your better standard need real drug site.
3a4b3b95-728d-49fd-84f0-d772e0bc4bf5,2004-0428-KOR,WFP Response - Republic of Korea -Storm -2004-08-15,WFP,High,En Route,"Korea, South",Storm,92,"Medical Kits, Tarps",Food technologist,Base magazine call television other reason pretty I hit require know in.
50710220-bdbb-48c9-a6e1-a6b76c92c314,2006-0342-NPL,UNICEF Response - Nepal -Flood -2006-06-24,UNICEF,Critical,En Route,Nepal,Flood,35,"Water Purification Tablets, Hygiene Kits",Agricultural engineer,Sure outside according station issue add.
4efbfc8e-0bce-41d8-8786-2f02daa911b3,2014-0009-CAN,UNICEF Response - Canada -Extreme temperature -2014-01-01,UNICEF,High,Completed,Canada,Extreme temperature,107,"Medical Kits, Water Purification Tablets",Gaffer,Piece particular can that current special.
8963d927-a315-4216-a43e-95f13e436a1a,2008-0202-NGA,UNICEF Response - Nigeria -Road -2008-05-21,UNICEF,Critical,Planned,Nigeria,Road,114,"Water Purification Tablets, Medical Kits",Waste management officer,Serious image Mrs article condition plan give.
e92c074a-5a15-42cd-8de4-dd59cc673f2d,2015-0174-USA,Doctors Without Borders Response - United States of America -Rail -2015-05-12,Doctors Without Borders,High,On Site,United States,Rail,110,"Medical Kits, Food Rations",Horticultural consultant,People collection perhaps drop daughter real dog identify receive.
4892be6e-b042-4c2a-ba03-ce340876cb15,2015-0137-RUS,UNICEF Response - Russian Federation -Wildfire -2015-04-12,UNICEF,Critical,On Site,Russia,Wildfire,40,"Medical Kits, Food Rations",Child psychotherapist,Record fine main north night doctor mention financial American check.
00bcc3db-5e77-4d45-bc67-6cf0a3c692ca,2007-0229-CHN,Red Cross Response - China -Water -2007-05-12,Red Cross,Critical,On Site,China,Water,8,"Water Purification Tablets, Food Rations",Archaeologist,Article soon strong Democrat under laugh.
